m3
1350.550
1370.518
1344.353
1344.019
1342.500
1349.310
1339.940
1334.585
1316.719
1310.871
1314.540
1309.049
1305.911
1320.624
1301.462
1299.671
1288.806
1292.222
1280.063
1276.792
1267.712
1258.527
1266.414
1252.850
1250.043
1269.097
1254.814
1241.849
1243.757
1237.942
1223.711
1219.839
1203.099
1202.151
1197.263
1191.017
1194.051
1202.414
1180.930
1176.752
1180.132
1178.563
1161.830
1165.254
1139.341
1136.642
1133.316
1129.976
1115.285
1148.039
1122.085
1115.839
1114.225
1117.014
1106.884
1110.555
1082.226
1080.486
1074.169
1069.347
1063.843
1086.227
1057.865
1056.703
1058.885
1052.188
1047.483
1041.830
1025.789
1011.410
1001.817
997.914
994.400
1022.816
1000.031
1005.861
1005.953
1012.717
1010.183
1004.812
980.466
971.395
967.966
971.815
962.789
992.176
962.472
948.412
955.242
951.490
954.966
957.909
934.463
936.009
943.346
939.656
937.920
949.287
926.956
915.828
914.200
914.890
911.870
907.675
900.185
890.289
895.758
890.680
887.900
891.866
879.555
872.676
872.959
871.463
872.086
870.722
864.139
855.472
857.186
855.757
858.143
