oil
57.52
59.88
57.03
53.96
56.95
54.81
57.35
54.66
60.83
63.86
58.15
54.95
51.38
49.52
56.96
70.75
70.23
68.06
70.98
67.87
69.98
66.25
62.73
62.23
63.7
57.88
56.64
51.58
49.82
48.04
46.63
45.18
48.48
51.06
49.33
53.47
52.5
51.97
45.66
49.78
45.18
44.72
44.65
48.76
46.71
40.75
37.55
30.32
31.68
37.19
42.44
46.22
45.48
42.87
50.9
59.82
59.27
54.45
47.82
50.58
47.22
59.29
75.79
84.4
93.21
96.54
103.59
105.79
102.18
102.07
100.8
100.82
94.62
97.63
93.86
100.54
106.29
106.57
104.67
95.77
94.51
92.02
92.94
95.31
94.76
87.86
86.53
89.49
94.51
94.13
87.9
82.3
94.66
103.32
106.16
102.2
100.27
98.56
97.16
86.32
85.52
86.33
97.3
96.26
100.9
109.53
102.86
88.58
89.17
89.15
84.25
81.89
75.24
76.6
76.32
75.34
73.74
84.29
81.2
76.39
78.33
