"Date","Price","Open","High","Low","Change %"
"Dec 16","10.6392","10.6617","10.8117","10.5166","0.11%"
"Nov 16","10.6278","10.8169","10.9663","10.5574","-1.64%"
"Oct 16","10.8047","10.9141","10.9588","10.7200","-0.57%"
"Sep 16","10.8671","10.8847","10.9795","10.8070","0.26%"
"Aug 16","10.8392","10.9026","11.0094","10.8096","-0.59%"
"Jul 16","10.9038","10.8642","10.9371","10.7788","0.43%"
"Jun 16","10.8572","10.8712","11.0531","10.7575","-0.05%"
"May 16","10.8627","10.9792","11.0713","10.7862","-1.08%"
"Apr 16","10.9808","10.9630","11.0208","10.8612","0.23%"
"Mar 16","10.9561","10.7736","11.0002","10.7130","2.11%"
"Feb 16","10.7297","10.7482","10.9900","10.7121","-0.13%"
"Jan 16","10.7438","10.7701","10.8524","10.6716","0.06%"
"Dec 15","10.7376","10.6567","10.8750","10.6033","1.11%"
"Nov 15","10.6201","10.8086","10.8623","10.6000","-1.55%"
"Oct 15","10.7871","10.8787","11.0414","10.7501","-0.80%"
"Sep 15","10.8738","10.8898","11.0265","10.8093","-0.09%"
"Aug 15","10.8832","10.7436","11.1011","10.7165","1.21%"
"Jul 15","10.7530","10.8559","10.9079","10.6833","-0.72%"
"Jun 15","10.8310","10.7753","11.0016","10.6423","0.51%"
"May 15","10.7760","10.8822","10.9971","10.7083","-0.89%"
"Apr 15","10.8723","10.6949","10.9372","10.6066","1.76%"
"Mar 15","10.6843","10.7835","10.8368","10.5993","-0.96%"
"Feb 15","10.7881","10.8057","10.9047","10.7399","-0.12%"
"Jan 15","10.8007","10.9639","10.9902","10.7508","-1.18%"
"Dec 14","10.9300","11.0298","11.0873","10.9296","-0.82%"
"Nov 14","11.0207","11.0435","11.1102","10.9643","-0.22%"
"Oct 14","11.0449","11.0830","11.1551","10.9594","-0.30%"
"Sep 14","11.0781","11.1355","11.1761","11.0197","-0.46%"
"Aug 14","11.1292","11.1749","11.2395","11.1126","-0.09%"
"Jul 14","11.1392","11.2182","11.2737","11.1419","-0.40%"
"Jun 14","11.1839","11.2305","11.2973","11.1592","-0.17%"
"May 14","11.2025","11.2430","11.3301","11.1636","-0.05%"
"Apr 14","11.2082","11.2295","11.2954","11.1736","0.25%"
"Mar 14","11.1797","11.2437","11.3308","11.1648","-0.17%"
"Feb 14","11.1991","11.1955","11.2853","11.1473","0.14%"
"Jan 14","11.1839","11.2395","11.3090","11.1406","-0.42%"
"Dec 13","11.2313","11.2269","11.3382","10.9860","0.14%"
"Nov 13","11.2155","11.2322","11.2665","11.0747","0.08%"
"Oct 13","11.2060","11.2185","11.2924","11.1414","0.57%"
"Sep 13","11.1428","11.1424","11.2596","11.0933","0.02%"
"Aug 13","11.1409","11.1742","11.2392","11.0990","-0.19%"
"Jul 13","11.1622","11.1157","11.2147","11.0232","0.85%"
"Jun 13","11.0679","11.0944","11.2313","11.0644","-0.33%"
"May 13","11.1042","11.1392","11.1979","11.0327","-0.06%"
"Apr 13","11.1112","11.0922","11.1839","11.0387","0.54%"
"Mar 13","11.0510","11.1238","11.1762","11.0376","-0.60%"
"Feb 13","11.1176","11.2151","11.2569","11.0809","-0.80%"
