"Date","Price","Open","High","Low","Change %"
"Jan 15","9.5700","9.0606","9.7186","9.0345","5.92%"
"Dec 14","9.0353","8.8543","9.0809","8.7650","2.07%"
"Nov 14","8.8520","8.8370","8.9280","8.7574","0.37%"
"Oct 14","8.8190","8.7681","8.8551","8.6023","0.55%"
"Sep 14","8.7706","8.4761","8.8127","8.4550","3.49%"
"Aug 14","8.4749","8.3667","8.4993","8.3153","1.86%"
"Jul 14","8.3203","8.2062","8.3874","8.1816","1.85%"
"Jun 14","8.1688","8.2514","8.3167","8.1833","-0.61%"
"May 14","8.2190","8.0970","8.2787","8.0324","1.68%"
"Apr 14","8.0832","8.1681","8.2248","8.0729","-0.44%"
"Mar 14","8.1189","8.1561","8.2118","8.0384","0.06%"
"Feb 14","8.1141","8.3089","8.3298","8.1187","-2.16%"
"Jan 14","8.2936","8.1796","8.3246","8.1462","1.50%"
"Dec 13","8.1712","8.2618","8.3059","8.0455","-1.00%"
"Nov 13","8.2534","8.2684","8.4173","8.2062","0.03%"
"Oct 13","8.2506","8.2839","8.3390","8.1046","-0.39%"
"Sep 13","8.2830","8.4311","8.5211","8.2286","-1.70%"
"Aug 13","8.4260","8.3998","8.4771","8.3076","0.40%"
"Jul 13","8.3926","8.5440","8.7009","8.3526","-1.36%"
"Jun 13","8.5085","8.6288","8.6394","8.3080","-0.48%"
"May 13","8.5497","8.4646","8.6813","8.4019","1.31%"
"Apr 13","8.4393","8.6498","8.7078","8.4261","-2.11%"
"Mar 13","8.6215","8.5112","8.7107","8.4558","1.33%"
"Feb 13","8.5080","8.2593","8.5580","8.1660","3.32%"
"Jan 13","8.2350","8.4459","8.5752","8.2220","-2.54%"
"Dec 12","8.4500","8.5458","8.6391","8.3706","-1.17%"
"Nov 12","8.5500","8.5748","8.7560","8.5200","-0.25%"
"Oct 12","8.5710","8.6268","8.6793","8.4550","-0.48%"
"Sep 12","8.6120","8.7887","8.8498","8.4411","-1.99%"
"Aug 12","8.7872","8.9500","9.0623","8.7366","-1.37%"
"Jul 12","8.9094","8.7283","9.1188","8.7210","1.96%"
"Jun 12","8.7383","8.9166","8.9672","8.6791","-1.94%"
"May 12","8.9116","8.4172","8.9394","8.4020","6.21%"
"Apr 12","8.3906","8.4078","8.5903","8.3447","0.57%"
"Mar 12","8.3433","8.3799","8.5691","8.3399","-0.43%"
"Feb 12","8.3794","8.5076","8.5798","8.2847","-1.53%"
"Jan 12","8.5094","8.5899","8.7732","8.4228","-0.89%"
"Dec 11","8.5855","8.3220","8.6468","8.2627","3.45%"
"Nov 11","8.2994","8.0881","8.4607","8.0986","2.28%"
"Oct 11","8.1144","8.3467","8.4937","7.9169","-2.48%"
"Sep 11","8.3209","7.8692","8.3787","7.8688","5.73%"
"Aug 11","7.8701","7.8543","8.0337","7.7899","0.42%"
"Jul 11","7.8369","7.8132","8.1409","7.7766","0.64%"
"Jun 11","7.7872","7.8544","8.0252","7.7162","-0.91%"
"May 11","7.8585","7.6469","8.0730","7.6177","2.38%"
"Apr 11","7.6760","7.9612","8.0294","7.6406","-3.60%"
"Mar 11","7.9628","8.1288","8.1945","7.9206","-2.02%"
"Feb 11","8.1270","8.1859","8.3479","8.1072","-0.70%"
"Jan 11","8.1844","8.3411","8.6354","8.1518","-1.75%"
"Dec 10","8.3301","8.5619","8.5814","8.2798","-2.72%"
"Nov 10","8.5630","8.0380","8.5852","7.9068","6.11%"
"Oct 10","8.0699","8.2201","8.2479","7.9620","-1.80%"
"Sep 10","8.2181","8.7209","8.7696","8.1889","-5.69%"
"Aug 10","8.7135","8.4910","8.7981","8.3673","2.25%"
"Jul 10","8.5216","8.9946","9.0332","8.4836","-5.25%"
"Jun 10","8.9934","8.9290","9.0585","8.8411","0.50%"
"May 10","8.9485","8.3649","9.0494","8.3649","6.60%"
"Apr 10","8.3945","8.2921","8.5078","8.1903","1.29%"
"Mar 10","8.2875","8.2212","8.4179","8.1281","0.70%"
"Feb 10","8.2297","8.1288","8.3335","8.0278","1.43%"
"Jan 10","8.1135","7.8731","8.1150","7.7628","2.75%"
